ax,ay,az,wx,wy,wz
0.904498,0.120815,9.88556,0.0894842,0.0970929,0.0473273
0.601105,0.254166,9.72063,0.0822257,0.0782308,0.0831756
0.481063,0.284355,10.0221,0.109836,0.104261,0.0729531
0.08651,0.188491,9.83307,0.0672183,0.058412,0.107374
0.647295,0.245789,9.92772,0.103937,0.100462,0.113777
-0.0396502,0.308825,9.56734,0.10379,0.0568619,0.0920292
0.482568,0.253262,9.83029,0.0401439,0.0824345,0.105679
0.220704,-0.142538,9.56956,0.0913817,0.0604101,0.0835561
0.56414,0.0362356,9.79101,0.117856,0.0810557,0.117793
0.467571,0.105815,9.69861,0.0997117,0.112419,0.116229
0.560837,-0.161129,10.2154,0.071954,0.14087,0.0818486
0.326758,-0.143074,10.0481,0.121577,0.0711018,0.0862006
0.972063,0.669387,10.1628,0.0570969,0.0589314,0.0993131
0.356718,0.0770572,9.6577,0.111607,0.119802,0.0755001
0.600079,-0.174089,10.0021,0.0860527,0.0830313,0.0924097
0.695697,0.296458,10.0277,0.132917,0.120142,0.0576985
0.579333,0.202283,9.78104,0.0588203,0.0989228,0.121392
0.865715,0.358663,10.2654,0.106205,0.10931,0.116398
0.342025,0.220013,9.73903,0.095917,0.130224,0.0807401
0.0841138,0.0771136,9.68621,0.107999,0.0840696,0.0828595
0.0808064,0.18038,9.757,0.0961081,0.106237,0.133977
0.174102,0.523453,10.177,0.0685441,0.0805379,0.107312
0.751818,0.543626,10.0673,0.0803886,0.103404,0.13921
0.44008,-0.0941864,9.80982,0.118576,0.0805638,0.0984687
0.308145,0.490474,9.95792,0.0629448,0.0743815,0.117822
0.636445,0.232356,10.1597,0.118936,0.126273,0.120616
0.774507,0.389649,10.1824,0.0755869,0.101735,0.105933
0.829641,0.182972,10.1307,0.0907815,0.124847,0.0995809
0.678716,0.137814,9.91385,0.0945207,0.0887119,0.111267
0.415602,0.107519,9.59824,0.0998595,0.112388,0.109778
0.406521,0.174894,9.85543,0.0917194,0.146032,0.129176
0.407316,0.538624,9.94547,0.117939,0.0686627,0.129737
0.583478,0.359445,9.71403,0.145051,0.109471,0.118325
0.501395,0.249589,9.42307,0.100571,0.100859,0.0940373
0.972143,0.49473,9.56101,0.088672,0.108252,0.0999739
0.397812,0.148717,9.51589,0.111013,0.0875165,0.127549
0.549197,0.536752,9.95692,0.0992155,0.120235,0.13963
0.621246,0.117837,9.69509,0.0982537,0.0884485,0.104425
0.630632,0.0603736,9.67795,0.141978,0.140747,0.100437
0.73473,0.240445,10.1415,0.110771,0.117439,0.136894
0.71011,0.0811325,10.1937,0.085424,0.0920254,0.100163
0.388104,0.267226,10.0591,0.139182,0.110721,0.0964723
0.643976,0.0759498,10.2288,0.103815,0.0887808,0.0687672
0.373934,0.426005,9.63558,0.102241,0.12694,0.112012
0.536735,0.758217,10.1881,0.113746,0.150739,0.126866
0.717105,0.264541,10.3043,0.124642,0.098114,0.111208
0.37819,0.17311,9.90915,0.120374,0.123275,0.132447
0.47578,0.433424,9.942,0.122934,0.120692,0.102254
0.821761,0.0413858,10.0501,0.138859,0.144923,0.143644
0.733186,0.494943,9.77229,0.109261,0.101637,0.113038
0.834649,0.605358,10.2336,0.175041,0.132477,0.0861647
0.568304,0.477547,9.76914,0.129692,0.106237,0.110441
0.433121,0.467164,9.68928,0.135288,0.123776,0.169047
0.505489,0.0598697,10.1256,0.109475,0.117093,0.114334
0.596816,0.0661519,9.55708,0.11377,0.09831,0.131741
0.726794,0.3658,10.1671,0.10991,0.130142,0.139747
0.466866,0.371866,10.0735,0.126487,0.114464,0.112047
0.638602,0.43824,9.72373,0.0919436,0.111449,0.155904
0.448658,0.0595134,9.79119,0.125375,0.111002,0.130888
0.763925,0.209871,9.64119,0.126469,0.112353,0.11781
0.822224,0.366345,9.92143,0.127758,0.131934,0.100074
0.580626,0.246563,10.1203,0.0984316,0.129163,0.146633
0.524527,0.0646811,9.86381,0.108184,0.128481,0.12245
0.68654,0.352612,10.1343,0.1027,0.138578,0.132631
0.661485,0.393765,9.90815,0.10564,0.132109,0.103305
0.575662,0.274492,9.74979,0.115372,0.150404,0.17506
0.666797,0.485528,10.0415,0.132506,0.138445,0.149065
0.881424,0.00108936,9.47152,0.116729,0.116285,0.116944
0.702369,0.484408,10.0818,0.140428,0.13486,0.159038
0.682278,0.687778,10.038,0.0745465,0.104976,0.087858
0.794121,0.498318,9.8244,0.147253,0.12901,0.127381
0.620815,0.373023,10.1247,0.146938,0.133996,0.14489
0.537907,0.23665,9.58731,0.110161,0.108124,0.117406
0.46406,0.811501,9.69575,0.133439,0.107358,0.109353
0.449102,0.440726,9.86684,0.129845,0.125153,0.148581
0.724122,0.311957,9.66652,0.103343,0.149587,0.150859
0.439829,-0.00857535,9.85943,0.123017,0.162131,0.116515
0.560445,0.727596,9.76743,0.0647616,0.140009,0.098557
0.676046,0.390917,9.96791,0.129201,0.125575,0.151891
0.782982,-0.0179304,9.62638,0.130479,0.102585,0.119966
0.207239,0.197622,9.73078,0.143035,0.1255,0.108598
0.639846,0.633005,9.97947,0.130119,0.126143,0.137453
0.626489,0.309699,9.95561,0.119969,0.111004,0.132083
0.673569,0.329264,10.0656,0.149014,0.136504,0.151877
0.450065,0.766552,9.87163,0.154021,0.153076,0.145039
0.696219,0.527407,9.95926,0.120692,0.0916193,0.169157
0.718636,0.484161,10.1508,0.152595,0.157629,0.138158
0.964337,0.239534,10.0942,0.12,0.129519,0.126344
0.50153,0.654979,10.1178,0.152549,0.107197,0.117691
0.62852,0.346456,10.1084,0.138939,0.15285,0.137035
0.481234,0.642265,9.801,0.112228,0.134593,0.129714
0.705529,0.177809,9.7448,0.149264,0.171329,0.150071
0.384127,0.237991,9.95938,0.202806,0.105767,0.134937
0.386607,0.130117,10.2901,0.171544,0.108491,0.156891
0.824509,-0.0667114,9.84826,0.163908,0.137553,0.127472
0.675157,0.182604,10.1699,0.155395,0.128575,0.0957192
1.26465,0.241439,9.88779,0.146804,0.120599,0.119567
0.900262,0.368062,9.933,0.0961623,0.115275,0.151478
0.360469,0.405149,10.4951,0.126529,0.135154,0.143265
0.672883,0.497909,9.66264,0.0873979,0.151548,0.102731
0.999017,0.356228,9.75284,0.140177,0.122775,0.178859
1.19399,0.304652,10.0164,0.128915,0.147973,0.100303
0.62714,0.182422,9.94253,0.0997501,0.143601,0.136217
0.622239,0.290956,9.99727,0.140113,0.146215,0.140099
0.765262,0.113753,10.0498,0.13176,0.163313,0.141061
0.904819,0.100815,9.73472,0.136901,0.15079,0.142441
0.641065,0.52061,10.1593,0.124409,0.129595,0.110319
0.945769,0.716751,10.0991,0.135611,0.116659,0.146735
0.83738,0.597237,9.7264,0.163937,0.159973,0.148837
0.735981,0.268192,10.1059,0.145764,0.162324,0.150765
0.586146,0.126804,9.96924,0.142731,0.128152,0.163114
0.504176,-0.0493843,10.2693,0.139056,0.119809,0.160731
0.356096,0.357075,10.0982,0.136487,0.142912,0.153655
0.746361,0.48583,10.2633,0.131682,0.158885,0.142667
0.611507,0.123936,9.68004,0.127105,0.156137,0.148949
0.519574,0.375622,9.8812,0.175325,0.144186,0.128686
0.573287,0.36883,9.86417,0.14172,0.131859,0.143439
0.765738,0.169006,10.1697,0.096262,0.138349,0.153132
0.931793,0.440177,9.93179,0.151401,0.15153,0.157365
0.74863,0.109388,10.0734,0.15418,0.137449,0.153606
0.492171,0.610267,10.0879,0.151124,0.14914,0.162095
0.734279,0.342919,9.92933,0.152035,0.140157,0.158199
0.668624,0.266162,10.0945,0.140195,0.155289,0.141107
1.08646,0.493839,9.99324,0.169184,0.17704,0.192433
0.849538,-0.0901139,9.68625,0.154719,0.149085,0.158094
0.750163,0.166458,9.81317,0.154819,0.12955,0.115353
0.708009,0.290362,9.80415,0.176372,0.175073,0.138867
0.655663,0.323488,10.1888,0.181788,0.156992,0.139958
0.86137,0.236409,9.77058,0.150127,0.181949,0.140964
0.749434,0.427792,9.82903,0.149316,0.14786,0.151422
0.901108,0.652669,10.1665,0.148664,0.172789,0.165756
0.932395,0.528193,10.2521,0.0993426,0.124794,0.159977
0.664281,0.366121,9.81329,0.157489,0.157472,0.160589
0.734988,0.373536,9.71194,0.120879,0.139209,0.156945
0.661389,0.234967,9.68104,0.165068,0.124377,0.125986
0.792724,0.294928,9.92441,0.165927,0.151167,0.170867
0.678122,0.459232,9.93515,0.192846,0.179292,0.129774
0.453068,0.572063,9.98721,0.160217,0.153928,0.154513
0.779256,0.523648,10.0105,0.176471,0.185464,0.142166
0.670482,0.317667,9.72815,0.150879,0.149353,0.140499
0.787241,0.216135,9.94892,0.201842,0.165899,0.180238
0.911117,0.680843,10.1554,0.168872,0.145246,0.152961
1.21921,0.374496,9.84361,0.129074,0.190372,0.146422
0.953188,0.18557,10.0185,0.113066,0.186582,0.152803
0.716158,0.172881,9.72806,0.188822,0.143933,0.189068
0.678743,0.610699,10.4609,0.146154,0.157964,0.143963
0.857881,0.529991,9.56823,0.153664,0.138593,0.171897
0.925345,0.415316,9.80513,0.170888,0.163249,0.17764
0.700235,0.574821,10.1137,0.178235,0.18674,0.140609
0.615424,0.282532,9.87805,0.158212,0.143344,0.169801
0.725163,0.620718,9.83054,0.154418,0.157606,0.167846
0.725603,0.512592,9.89575,0.163729,0.168384,0.171113
0.720696,0.183635,9.84958,0.181417,0.144598,0.182314
0.382371,0.425853,9.57506,0.168002,0.152919,0.177451
0.500551,0.143354,9.87364,0.151304,0.155833,0.162536
0.915133,0.367617,9.51339,0.160456,0.16461,0.174785
1.03814,0.529127,9.63999,0.154282,0.14025,0.151237
1.02438,0.243002,9.94339,0.136961,0.148132,0.179151
0.76047,0.563179,10.0311,0.175491,0.176427,0.179052
0.74282,0.369687,9.79702,0.166193,0.165563,0.171058
1.03305,0.414032,9.83325,0.169033,0.195786,0.157652
0.799892,0.879594,10.3493,0.168905,0.180324,0.143703
0.989129,0.324566,9.83972,0.151313,0.173262,0.187696
0.709868,0.752421,9.80081,0.10885,0.170329,0.151291
0.527301,0.823524,10.0208,0.134926,0.168989,0.157856
