timestamp,x,y,z,vx,vy,vz,ax,ay,az,phi,theta,psi
1542356324.551944872,52.5089,19.7026,-0.724384,-0.76888,0.443101,1.30254,-0.0166454,1.06591,0.065561,-0.348771,-5.66942,-86.5479
1542356324.600003548,52.4598,19.7255,-0.667656,-0.902732,0.495334,1.23907,-0.0366819,1.02709,-0.01357,-0.36475,-5.66532,-86.5395
1542356324.648115932,52.523,19.7048,-0.746614,-0.846607,0.462757,1.15281,-0.151328,1.00057,-0.279863,0.000279683,-5.6723,-86.6938
1542356324.690902526,52.5017,19.7208,-0.69755,-0.68725,0.455376,1.14246,-0.146211,1.02782,-0.240402,0.0267505,-5.67059,-86.6874
1542356324.738949517,52.4981,19.7335,-0.643991,-0.418349,0.407326,1.13302,-0.109227,1.02343,-0.00540859,-0.0455398,-5.67561,-86.663
1542356324.781732339,52.4691,19.7517,-0.59856,-0.53851,0.465562,1.11007,0.0185092,0.999447,-0.0416319,0.021913,-5.68203,-86.6657
1542356324.829808530,52.4464,19.7813,-0.542847,-0.510124,0.571959,1.11267,-0.00545266,0.995462,-0.176947,0.021653,-5.68573,-86.6435
1542356324.877880385,52.4246,19.8053,-0.491637,-0.494249,0.58495,1.10427,-0.0197116,1.1193,-0.0161784,0.0584414,-5.69282,-86.6419
1542356324.920720017,52.4416,19.8324,-0.457558,-0.216515,0.739354,1.04883,0.0496404,1.07175,-0.0164967,0.134923,-5.71414,-86.619
1542356324.968727126,52.716,19.7305,-0.752874,-0.173192,0.740504,0.930234,0.00418091,0.971392,-0.184456,-0.35198,-5.93769,-86.4445
1542356325.011598729,52.6635,19.7583,-0.754984,-0.663626,0.735071,0.475959,-0.130091,0.896655,-0.317208,-0.380866,-5.96315,-86.4204
1542356325.059609961,52.623,19.792,-0.739735,-0.760669,0.755701,0.399778,-0.177021,0.884488,-0.278364,-0.342392,-6.00343,-86.4515
1542356325.107714950,52.5866,19.829,-0.721018,-0.763166,0.79462,0.391133,-0.132093,0.835158,-0.178134,-0.349489,-6.01699,-86.445
1542356325.150497349,52.7332,19.7255,-0.807888,-0.722162,0.751284,0.29413,-0.0305741,0.875477,-0.245672,-0.543195,-6.20578,-86.3031
1542356325.198544651,52.6896,19.7604,-0.804672,-0.819426,0.772109,0.173255,-0.0292805,0.922067,-0.203845,-0.536755,-6.19402,-86.2852
1542356325.241336015,52.7776,19.7222,-0.834472,-0.772564,0.757779,0.113127,0.067115,0.981325,-0.180185,-0.561453,-6.37346,-86.2208
1542356325.289399987,52.7367,19.7597,-0.832175,-0.809794,0.80554,0.0745549,0.100278,1.02299,-0.15247,-0.546777,-6.36439,-86.201
1542356325.337472183,52.6894,19.7958,-0.832536,-0.886137,0.825146,0.0289879,0.10026,1.0159,-0.109432,-0.529419,-6.38775,-86.2228
1542356325.380279128,52.8734,19.7292,-0.825158,-0.812727,0.753437,-0.0481216,0.131021,0.896662,-0.220052,-0.537095,-5.98886,-86.5041
1542356325.428298123,52.8423,19.7645,-0.824959,-0.72613,0.783098,-0.0310079,0.0671177,1.00843,-0.280892,-0.547666,-5.95813,-86.4907
