x,y,z,vx,vy,vz,phi,theta,psi
0.804521,-3.2048,0.247748,-0.583526,1.22984,2.46937,-0.651612,2.41206,0.837472
0.703637,-3.46539,0.0859751,-0.708076,1.17826,2.18369,-0.731058,2.44143,1.23731
0.675997,-3.21057,0.0447195,-0.211213,1.73566,2.10013,-0.547297,2.18447,1.17308
0.27219,-3.01558,0.314735,-0.338158,1.62317,2.46883,-0.434586,2.07304,0.946174
0.492547,-3.14128,0.559788,-0.546212,1.77997,3.06573,-0.475258,2.1485,1.08151
0.693418,-2.96931,0.874421,-0.305321,1.81643,3.18066,-0.721453,2.09395,0.938355
0.492158,-2.90051,1.02468,-0.458423,1.213,2.17715,-0.92037,2.21483,0.91183
0.0269998,-2.89253,0.848234,-0.333715,1.20075,2.21827,-1.00169,2.29138,0.981362
-0.0277832,-2.65717,0.715831,-0.237801,0.729208,2.23002,-1.00835,2.43036,0.895136
-0.295189,-2.48911,0.590992,-0.481127,0.710221,2.85681,-0.974457,2.59624,0.424746
0.0305609,-2.63509,0.557736,-0.252542,1.18456,2.38876,-0.827818,2.59279,0.438875
0.149433,-2.04101,0.563023,-0.168606,0.535434,2.28053,-0.853184,2.48053,0.207607
-0.0880479,-1.74043,0.720959,-0.579235,0.250759,2.65194,-1.05602,2.4193,0.356878
-0.0750388,-1.69215,0.90552,-0.796271,0.203302,2.41782,-1.27389,2.39997,0.503188
-0.206476,-1.81645,0.934447,-0.962624,-0.128604,2.90132,-1.38194,2.66522,0.30678
-0.204718,-1.62381,1.01376,-0.652184,-0.096684,2.95851,-1.04489,2.65412,0.175623
-0.422255,-1.76452,0.863134,-0.991495,-0.00259319,2.48229,-0.968513,2.9679,0.298561
-0.076758,-2.01811,0.907887,-0.666541,0.580203,2.21299,-0.675487,3.0353,0.341667
-0.050838,-1.98265,1.0123,-1.00685,0.751651,2.21427,-0.616862,2.92588,0.222343
0.00120685,-1.89312,0.88468,-1.21387,0.83367,2.26451,-0.262068,2.73944,0.159719
-0.00709785,-1.81511,1.04379,-0.809996,0.548196,1.97899,-0.255901,2.88883,-0.195461
0.121819,-2.45359,1.37997,-1.06019,0.83845,2.22374,-0.296582,2.96669,0.184933
0.464801,-2.45433,1.46249,-1.86347,1.47887,2.00179,-0.490333,3.15139,-0.0580086
0.544573,-2.33001,1.37706,-1.95322,1.55058,2.06829,-0.209084,3.15916,-0.329802
0.628091,-2.07718,1.4488,-1.93328,1.16414,2.11603,-0.211053,2.98522,-0.211133
-0.0715566,-1.98381,1.24858,-1.94857,1.36543,2.15814,-0.172029,3.36971,-0.435736
-0.217712,-1.89613,1.11762,-1.60727,1.19041,2.77172,-0.203764,3.34594,-0.451467
-0.00414957,-1.84601,0.958522,-1.80393,0.853174,3.03181,-0.600726,3.31826,-0.452221
-0.217953,-2.2689,0.93075,-2.06831,0.918199,3.0229,-0.182706,3.43854,-0.611219
-0.193379,-2.41031,0.892705,-2.11654,0.432225,3.29672,-0.132686,3.13175,-0.924945
-0.384065,-2.49048,0.940253,-2.21537,0.108619,3.57808,-0.266605,3.35189,-1.09969
-0.419273,-2.45235,0.667539,-2.23523,0.539443,3.76822,-0.394166,3.48516,-1.38443
-0.582513,-2.3287,0.723286,-2.50928,0.677851,3.82347,-0.503417,3.61619,-1.3471
-0.384042,-2.41184,0.592588,-3.07603,0.574009,3.55828,-0.63816,3.68042,-1.24043
-0.158392,-2.16019,0.69784,-2.79836,0.688396,3.95622,-0.126008,3.66162,-1.18502
-0.188019,-1.97648,0.580988,-3.05865,0.886641,3.61891,-0.114678,3.64137,-1.02826
-0.0704199,-1.78409,0.535233,-3.39908,0.665659,3.23944,-0.148135,3.29817,-1.22411
0.0810039,-2.11109,0.719476,-3.19424,0.303706,3.55603,0.173482,3.43612,-1.31175
0.326703,-2.10444,0.535266,-3.33064,0.0786508,3.66691,0.307624,3.64676,-1.15551
0.323839,-2.03748,0.342761,-3.85787,0.0494438,3.09879,0.48366,3.61936,-0.997209
0.579183,-2.14712,0.25046,-3.25631,-0.324363,3.41107,0.728679,3.37305,-1.2456
0.609767,-2.27729,0.256159,-3.27051,-0.52443,3.35864,0.823694,3.82059,-1.3167
0.616671,-2.06562,0.338151,-3.21668,0.33336,3.22921,0.702695,4.1966,-1.0537
0.793078,-2.36149,0.750456,-3.28464,-0.213503,2.69014,0.545897,3.87545,-0.889781
0.932909,-2.41798,0.41106,-3.31746,-0.47672,2.74083,0.628177,4.07086,-0.912508
1.13263,-2.44912,0.634925,-3.09023,-0.475073,2.75708,0.57456,4.07649,-1.00813
0.822603,-2.26803,0.567859,-3.17603,-0.902934,2.89569,0.548756,4.26872,-1.05444
1.26494,-2.31633,0.460603,-2.86866,-0.52565,2.14316,0.648182,4.01711,-0.529223
1.214,-2.2546,0.327822,-2.73166,-0.840922,1.72732,0.563421,4.0405,0.0541198
1.15666,-2.24549,0.667575,-2.3735,-0.862065,1.21976,0.586264,4.07604,0.201876
1.04571,-2.32515,0.628657,-2.1852,-0.806479,1.16182,0.353577,4.26346,0.153572
0.926261,-2.34284,0.523012,-1.61954,-0.317927,0.973351,0.460844,4.3583,0.452559
0.751394,-2.60941,0.54767,-1.1701,-0.0915346,0.993347,0.479983,4.65781,0.345842
0.786163,-2.28359,0.40032,-0.874092,0.143522,1.11351,0.501492,4.47659,0.115513
0.687454,-2.30459,0.280641,-1.11621,0.209927,1.44879,0.412144,4.61067,-0.181702
0.553764,-2.56041,0.218872,-1.14536,0.548661,1.55744,0.352014,4.64889,0.0597915
0.324112,-2.69083,0.320203,-1.32543,0.475534,1.70654,0.681214,4.41144,0.336915
-0.347768,-2.57872,-0.0510459,-1.2393,0.828332,1.95869,0.606878,4.3533,0.975388
-0.357722,-2.54324,-0.100823,-1.36309,0.791815,1.72541,0.682521,4.36671,1.02082
-0.378167,-2.53412,-0.0490613,-1.51229,0.868646,1.61009,0.914381,4.47404,1.21225
-0.369626,-2.58883,-0.0558861,-1.30751,0.679992,1.60475,0.936226,4.0074,1.38294
-0.166199,-2.52084,-0.0550442,-1.19523,0.832537,1.8877,0.728932,4.10837,1.73696
0.11691,-2.32151,-0.218256,-1.89905,0.846386,2.04788,1.12658,4.18595,2.26985
0.359099,-2.36372,-0.166834,-1.60022,0.791459,1.95068,1.05505,4.28515,2.17067
0.455525,-2.31039,-0.119549,-1.31287,0.675249,2.23768,0.992937,4.38572,2.26368
0.599722,-2.03789,-0.135498,-1.39506,0.376067,2.23987,0.918246,4.43762,2.34158
0.560989,-1.64666,-0.250948,-1.4924,0.681321,1.71262,0.786111,4.36707,2.31484
0.318154,-1.64047,-0.336831,-1.67334,1.08084,1.95347,0.76215,4.54265,2.87149
0.395567,-1.51189,-0.352771,-2.07592,1.47339,1.73034,1.14524,4.59367,2.81885
0.0144561,-1.64147,-0.37585,-2.08611,1.30339,2.01261,1.10629,4.67711,3.09229
0.468113,-1.37287,-0.387765,-2.34729,0.868015,2.14569,1.01519,4.76621,2.92672
0.293799,-1.14788,-0.130726,-2.12331,0.795353,2.16331,1.3799,4.3469,2.81626
-0.0274945,-1.15211,-0.120589,-2.32796,1.12299,2.23289,0.973203,4.4072,2.79586
0.01212,-1.39812,0.134458,-1.67951,0.615404,2.06222,1.13375,4.5596,2.80925
-0.191826,-1.15217,0.256822,-1.73682,1.12228,1.86048,1.48453,4.51377,2.89397
-0.0635781,-1.21561,0.114189,-1.67255,0.978315,1.79344,1.60731,4.3779,2.92501
-0.242232,-1.05711,0.183828,-1.65014,1.11436,2.44882,1.35942,4.56175,3.35844
-0.205783,-1.09313,0.397288,-1.57818,1.24805,2.90181,1.17801,4.93523,2.98273
-0.148259,-0.60216,0.338739,-1.58154,1.38874,3.25863,0.905685,5.04569,2.83933
-0.455356,-0.348477,0.433007,-1.40093,1.22778,3.32418,0.963641,5.12179,2.67802
-0.530146,-0.510672,0.196109,-1.52172,1.47936,3.10397,0.851595,5.40705,2.64239
-0.488332,-0.690617,0.0745578,-1.22877,1.7203,3.0498,1.14428,5.29457,2.40518
-0.343156,-0.540737,0.438369,-0.951956,2.05959,3.22272,1.47375,5.45514,2.68814
-0.313251,-0.465595,0.339875,-0.655243,2.21062,3.09859,1.46228,5.54409,2.43246
-0.27815,-0.528244,0.489858,-0.578534,2.22138,3.58616,1.28249,5.46959,2.56133
-0.26214,-0.835125,0.248376,-0.347969,2.71125,3.61533,1.10104,6.04419,2.37959
