UTC Timestamp,Latitude,Longitude,Heading
1542356923.553961953,39.791908844317,116.498942463474,-157.439239501953
1542356923.596774317,39.791909287239,116.498941403906,-157.460327148438
1542356923.644825100,39.7919098171447,116.49894017374,-157.473175048828
1542356923.692904962,39.7919101912161,116.498939154444,-157.487518310547
1542356923.735694284,39.7919106695275,116.498937970485,-157.494293212891
1542356923.783773894,39.7919112477253,116.498936550283,-157.505401611328
1542356923.826553800,39.7919117886452,116.498935224977,-157.516143798828
1542356923.874601590,39.7919124675888,116.498933780725,-157.539398193359
1542356923.922750889,39.7919047294586,116.498936916571,-156.004974365234
1542356923.965463323,39.7919048181398,116.498935512072,-156.019409179688
1542356924.013496566,39.7919042432876,116.498935152316,-155.963226318359
1542356924.056326880,39.7919042163874,116.498933703392,-155.978576660156
1542356924.104370493,39.7919041637281,116.498932092885,-156.140777587891
1542356924.152529382,39.7919041382119,116.498930747558,-156.188385009766
1542356924.195241643,39.7919041691794,116.498929395175,-156.208099365234
1542356924.243334263,39.7919042013218,116.498928002041,-156.222290039062
1542356924.286117316,39.7919042454599,116.498927609797,-156.122497558594
1542356924.334169513,39.791902650679,116.498930884976,-155.845397949219
1542356924.382276507,39.791902648542,116.49892961769,-155.854827880859
1542356924.425045405,39.7919021068429,116.498929873146,-155.872039794922
1542356924.473102647,39.7919020732371,116.49892862943,-155.877960205078
1542356924.515948688,39.79190165841,116.498928747953,-155.801086425781
1542356924.563947237,39.7919016328394,116.498927693747,-155.7802734375
1542356924.606738912,39.7919012101756,116.498927736182,-155.717742919922
1542356924.654760310,39.7919011648256,116.498926665736,-155.716003417969
1542356924.702931797,39.791900987401,116.49892543858,-155.782806396484
1542356924.745664636,39.79190092249,116.498924294048,-155.810485839844
1542356924.793719405,39.7919007788907,116.498923129626,-155.8447265625
1542356924.836583826,39.791900601738,116.498922945437,-155.877593994141
1542356924.884587120,39.79190040104,116.498922877274,-155.906402587891
1542356924.932747211,39.7918996861753,116.498924040103,-155.777801513672
1542356924.975474097,39.7918994739655,116.498923399925,-155.808410644531
1542356925.023549172,39.7918992146778,116.49892230617,-155.605224609375
1542356925.066271480,39.7918987445744,116.498921801704,-155.605682373047
1542356925.114376505,39.7918984005476,116.498920489325,-155.517272949219
1542356925.162431024,39.7918976279257,116.498920030997,-155.501190185547
1542356925.205265896,39.791897653351,116.498919143802,-155.428833007812
1542356925.253331558,39.7918969167243,116.498918616392,-155.397552490234
1542356925.296125505,39.7918961326314,116.49891800712,-155.465148925781
1542356925.344115368,39.7918966598485,116.498917503539,-155.401000976562
1542356925.392276041,39.7918958300173,116.498916944088,-155.36669921875
