x,y,z,vx,vy,vz,phi,theta,psi
-1.92515,-1.96045,-1.27076,-0.310799,-0.59629,0.232954,-1.91193,-0.385317,4.71013
-1.92671,-1.96343,-1.2696,-0.308287,-0.593007,0.232526,-1.89707,-0.3633,4.72394
-1.92825,-1.9664,-1.26844,-0.308348,-0.591593,0.232961,-1.87823,-0.348041,4.75216
-0.731393,-1.36676,-0.016675,0.447075,-0.252358,1.00401,2.85635,1.55673,1.72111
-0.729158,-1.36803,-0.011655,0.45294,-0.254114,1.00747,2.87858,1.57956,1.7471
-0.726893,-1.3693,-0.00661773,0.45816,-0.253659,1.00861,2.89759,1.60571,1.76064
-0.724603,-1.37057,-0.00157457,0.463308,-0.255875,1.00941,2.91652,1.63506,1.78059
-0.722286,-1.37185,0.00347255,0.467221,-0.259467,1.01114,2.94049,1.64923,1.81481
-0.71995,-1.37314,0.00852834,0.470876,-0.259962,1.01283,2.95526,1.66814,1.83754
-0.717596,-1.37444,0.0135925,0.474469,-0.261114,1.01382,2.97892,1.69466,1.86773
-0.715224,-1.37575,0.0186617,0.480159,-0.262477,1.01564,2.99665,1.71037,1.90166
-0.712823,-1.37706,0.02374,0.484043,-0.26528,1.01743,3.01064,1.7298,1.92634
-0.710403,-1.37839,0.0288272,0.487983,-0.266685,1.01958,3.04799,1.75538,1.95252
-0.707963,-1.37972,0.0339252,0.492461,-0.266988,1.02172,3.07435,1.7888,1.97706
-0.705501,-1.38106,0.0390338,0.495689,-0.270061,1.02321,3.09822,1.80189,1.99902
0.538062,-1.0855,-0.903555,1.35281,-0.0764694,0.387762,3.79106,4.5305,2.36087
0.544826,-1.08588,-0.901616,1.36083,-0.0775938,0.389236,3.82326,4.55278,2.3878
0.55163,-1.08627,-0.89967,1.36772,-0.0783526,0.3895,3.85099,4.58614,2.39699
0.558468,-1.08666,-0.897723,1.37529,-0.0771782,0.389494,3.87529,4.60645,2.42651
0.565345,-1.08704,-0.895775,1.38437,-0.0804251,0.38856,3.90014,4.63495,2.45321
0.572267,-1.08745,-0.893832,1.39298,-0.081749,0.389138,3.92555,4.66477,2.47524
0.579232,-1.08786,-0.891887,1.40258,-0.0826411,0.388191,3.95216,4.68697,2.49891
0.586245,-1.08827,-0.889946,1.40843,-0.0839604,0.388047,3.98465,4.71392,2.5242
0.593287,-1.08869,-0.888006,1.41809,-0.0857714,0.387606,4.01286,4.73772,2.54895
0.600377,-1.08912,-0.886068,1.42734,-0.0887598,0.38808,4.03999,4.7592,2.56061
0.607514,-1.08956,-0.884128,1.43561,-0.0916434,0.387821,4.0878,4.78967,2.59127
0.614692,-1.09002,-0.882189,1.44363,-0.0944895,0.387592,4.11081,4.81308,2.61197
0.0462155,-1.2585,-1.21637,1.01735,-0.218181,0.148125,3.80411,2.44375,1.20431
0.0513023,-1.25959,-1.21562,1.02327,-0.220354,0.149009,3.83005,2.46922,1.23087
0.0564186,-1.2607,-1.21488,1.02824,-0.22142,0.149118,3.86315,2.49489,1.26714
0.0615596,-1.2618,-1.21413,1.03595,-0.224257,0.148531,3.88863,2.52134,1.28896
0.0667394,-1.26292,-1.21339,1.04156,-0.226457,0.149794,3.91453,2.54762,1.30952
0.0719473,-1.26406,-1.21264,1.04909,-0.229321,0.149129,3.94759,2.57688,1.34389
0.0771929,-1.2652,-1.2119,1.05625,-0.231988,0.14909,3.97461,2.60292,1.36898
0.0824742,-1.26636,-1.21115,1.06358,-0.23496,0.15002,4.00865,2.61704,1.39873
0.0877921,-1.26754,-1.2104,1.06929,-0.236244,0.149054,4.04069,2.64675,1.44372
0.0931387,-1.26872,-1.20966,1.07444,-0.240127,0.150736,4.07782,2.67544,1.46268
0.0985109,-1.26992,-1.2089,1.08174,-0.241766,0.14938,4.1101,2.71237,1.48928
0.10392,-1.27113,-1.20816,1.08829,-0.245893,0.150519,4.1381,2.73915,1.52504
0.0456186,-1.6988,-1.09494,1.05073,-0.555661,0.237651,0.979625,3.83854,4.20183
0.0508722,-1.70158,-1.09376,1.05819,-0.556718,0.235684,1.00008,3.85386,4.23645
0.056163,-1.70436,-1.09258,1.06486,-0.556759,0.235449,1.02779,3.87859,4.26126
0.0614872,-1.70715,-1.0914,1.07198,-0.557155,0.237094,1.06404,3.91375,4.29452
0.0668471,-1.70993,-1.09021,1.07972,-0.555288,0.238587,1.08768,3.95358,4.3231
0.0722455,-1.71271,-1.08902,1.08785,-0.555754,0.239563,1.1092,3.98625,4.35858
0.0776848,-1.71549,-1.08782,1.09527,-0.555743,0.240356,1.14483,4.01808,4.37671
0.0831611,-1.71827,-1.08662,1.10269,-0.5546,0.242837,1.17426,4.05012,4.40156
0.0886746,-1.72104,-1.08541,1.10768,-0.557132,0.242053,1.20247,4.08193,4.43311
0.0942129,-1.72382,-1.0842,1.11589,-0.556967,0.240186,1.23009,4.10076,4.46419
0.0997923,-1.72661,-1.083,1.12472,-0.556101,0.239537,1.25923,4.13185,4.49181
0.105416,-1.72939,-1.0818,1.13378,-0.556246,0.238648,1.29111,4.16537,4.51529
0.37723,-0.801998,-1.08255,1.3243,0.222253,0.243705,0.982513,-1.16086,8.48132
0.383852,-0.800887,-1.08133,1.32671,0.226716,0.243171,1.02153,-1.13288,8.51228
0.390486,-0.799753,-1.08011,1.33074,0.228604,0.24223,1.05485,-1.09701,8.55062
0.397139,-0.79861,-1.0789,1.33361,0.231873,0.243495,1.08494,-1.06653,8.58325
0.403808,-0.797451,-1.07768,1.33641,0.23298,0.243056,1.11551,-1.03153,8.60773
0.41049,-0.796286,-1.07647,1.3407,0.235927,0.243675,1.14524,-0.992014,8.63397
0.417193,-0.795106,-1.07525,1.34447,0.237277,0.242585,1.16807,-0.949668,8.66795
0.423916,-0.79392,-1.07404,1.34935,0.240081,0.243067,1.20965,-0.928252,8.71021
0.430663,-0.79272,-1.07282,1.35302,0.241982,0.244811,1.22654,-0.899724,8.73928
0.437428,-0.79151,-1.0716,1.35587,0.244386,0.245141,1.26643,-0.871044,8.77814
0.444207,-0.790288,-1.07037,1.3616,0.248362,0.24777,1.29788,-0.852149,8.80478
0.451015,-0.789046,-1.06913,1.36644,0.250175,0.248912,1.32177,-0.825065,8.82586
0.165945,0.193343,-1.07841,1.13683,1.08581,0.239025,6.30386,2.02518,4.65495
0.171629,0.198772,-1.07721,1.14558,1.08551,0.240045,6.3401,2.06161,4.68811
0.177357,0.204199,-1.07601,1.15163,1.08291,0.242348,6.37965,2.08995,4.71573
0.183115,0.209614,-1.0748,1.15695,1.07983,0.242102,6.40798,2.11643,4.75247
0.188899,0.215013,-1.07359,1.16265,1.07844,0.244552,6.44676,2.14012,4.79845
0.194713,0.220405,-1.07237,1.16869,1.07648,0.245247,6.49368,2.16742,4.83571
0.200556,0.225788,-1.07114,1.17508,1.07414,0.245699,6.5378,2.19669,4.8655
0.206431,0.231158,-1.06991,1.18208,1.07429,0.244845,6.57984,2.22431,4.90742
0.212342,0.23653,-1.06869,1.18868,1.07378,0.24583,6.6144,2.24389,4.95223
0.218285,0.241899,-1.06746,1.19528,1.07203,0.24696,6.64926,2.26241,4.99007
0.224262,0.247259,-1.06622,1.20034,1.06971,0.247463,6.68865,2.28986,5.02817
0.230264,0.252607,-1.06499,1.20841,1.06802,0.249047,6.72184,2.32163,5.06851
0.438902,1.92177,-0.921901,1.40574,2.62843,0.383452,4.9815,2.93488,2.57503
0.445931,1.93492,-0.919983,1.41161,2.62941,0.384681,5.01586,2.95722,2.59604
0.452989,1.94806,-0.91806,1.41884,2.63207,0.383562,5.04705,2.99363,2.63402
0.460083,1.96122,-0.916142,1.42634,2.63712,0.385132,5.0801,3.02656,2.67043
0.467215,1.97441,-0.914217,1.43448,2.63863,0.386756,5.1071,3.06064,2.7074
0.474387,1.9876,-0.912283,1.44186,2.64112,0.388512,5.14828,3.09327,2.73983
0.481596,2.00081,-0.91034,1.4508,2.6436,0.390148,5.17915,3.12083,2.77662
0.48885,2.01403,-0.90839,1.45793,2.6486,0.389482,5.21083,3.14677,2.81149
0.49614,2.02727,-0.906442,1.46441,2.65004,0.39077,5.23887,3.17772,2.84883
0.503462,2.04052,-0.904489,1.47231,2.65436,0.391875,5.28174,3.20729,2.89007
0.510823,2.05379,-0.902529,1.48051,2.6582,0.394105,5.31613,3.24962,2.93364
0.518226,2.06708,-0.900559,1.48796,2.66056,0.395567,5.34964,3.27391,2.97432
0.763149,2.27037,-1.44391,1.72959,2.85383,-0.137845,5.22407,3.26204,4.76773
0.771797,2.28464,-1.4446,1.7394,2.85795,-0.137406,5.2701,3.29274,4.80728
0.780494,2.29893,-1.44529,1.74657,2.86245,-0.136374,5.31757,3.32388,4.84491
0.789227,2.31324,-1.44597,1.75474,2.86551,-0.135826,5.34777,3.36222,4.88272
0.798,2.32757,-1.44665,1.76329,2.87047,-0.137214,5.376,3.40214,4.91968
0.806817,2.34192,-1.44734,1.77091,2.87459,-0.139105,5.41719,3.44072,4.95615
0.815672,2.3563,-1.44803,1.78176,2.87732,-0.139594,5.46431,3.47747,5.0047
0.824581,2.37068,-1.44873,1.7912,2.88065,-0.14092,5.50123,3.51775,5.04007
0.833537,2.38509,-1.44943,1.80045,2.88453,-0.140259,5.54335,3.55038,5.07958
0.842539,2.39951,-1.45014,1.80907,2.88775,-0.14039,5.58579,3.58473,5.12825
0.851585,2.41395,-1.45084,1.81718,2.89162,-0.140843,5.63226,3.61453,5.16613
0.860671,2.42841,-1.45154,1.8261,2.89443,-0.141727,5.67653,3.64849,5.20416
0.804878,2.02657,-2.35661,1.76936,2.49956,-1.07463,1.52197,4.14258,4.80819
0.813725,2.03907,-2.36198,1.77754,2.5073,-1.0777,1.5603,4.18445,4.84099
0.822612,2.0516,-2.36737,1.78707,2.51419,-1.08148,1.59344,4.22762,4.88112
0.831547,2.06417,-2.37278,1.79653,2.51842,-1.08526,1.63996,4.26074,4.91738
0.840531,2.07677,-2.37821,1.80448,2.52547,-1.08958,1.68052,4.29077,4.95381
0.849554,2.08939,-2.38365,1.81212,2.5313,-1.09265,1.72534,4.32789,4.99648
0.858614,2.10205,-2.38912,1.81921,2.5388,-1.09608,1.75718,4.36593,5.03714
0.867711,2.11475,-2.3946,1.82872,2.54348,-1.09977,1.7988,4.39947,5.07764
0.876854,2.12746,-2.4001,1.83742,2.54901,-1.10342,1.8433,4.44357,5.10367
0.886041,2.14021,-2.40561,1.84548,2.55498,-1.1056,1.89501,4.47457,5.14319
0.895268,2.15298,-2.41114,1.85419,2.55995,-1.10714,1.93989,4.51087,5.18309
0.904539,2.16578,-2.41668,1.86392,2.56364,-1.11032,1.97501,4.55218,5.21306
-0.336641,1.31633,-1.89465,0.532269,1.63335,-0.543106,3.89977,4.2832,6.88621
-0.33398,1.3245,-1.89737,0.537935,1.63516,-0.544777,3.93678,4.3174,6.92936
-0.33129,1.33268,-1.90009,0.544479,1.63768,-0.544947,3.98343,4.35167,6.97236
-0.328568,1.34087,-1.90282,0.550249,1.63898,-0.546157,4.01837,4.38549,7.00837
-0.325817,1.34906,-1.90555,0.558009,1.64057,-0.547543,4.06528,4.4228,7.04849
-0.323027,1.35726,-1.90829,0.565737,1.64133,-0.549308,4.09726,4.46696,7.09059
-0.320198,1.36547,-1.91103,0.573977,1.6431,-0.552724,4.14568,4.49576,7.13676
-0.317328,1.37369,-1.9138,0.581124,1.6445,-0.554762,4.19249,4.53316,7.19208
-0.314422,1.38191,-1.91657,0.588237,1.64797,-0.555921,4.22719,4.57736,7.23938
-0.311481,1.39015,-1.91935,0.593585,1.65041,-0.556396,4.27006,4.61656,7.28042
-0.308513,1.3984,-1.92213,0.600397,1.65198,-0.555589,4.31627,4.65414,7.32963
-0.305511,1.40666,-1.92491,0.607349,1.6533,-0.557885,4.36256,4.68799,7.37474
-0.656878,0.461824,-1.6936,0.226591,0.587471,-0.29887,5.36168,5.52906,6.64344
-0.655745,0.464762,-1.6951,0.232609,0.586359,-0.299195,5.39217,5.56307,6.68309
-0.654582,0.467693,-1.69659,0.240903,0.585066,-0.299066,5.44178,5.60905,6.73099
-0.653378,0.470619,-1.69809,0.248798,0.584232,-0.300482,5.49365,5.64904,6.7804
-0.652134,0.47354,-1.69959,0.257748,0.584228,-0.299932,5.53781,5.68939,6.8392
-0.650845,0.476461,-1.70109,0.265916,0.583149,-0.300794,5.58199,5.71938,6.89041
-0.649516,0.479376,-1.7026,0.272008,0.583098,-0.301385,5.62068,5.76548,6.93568
-0.648156,0.482292,-1.7041,0.278551,0.581921,-0.304052,5.66667,5.80349,6.98054
-0.646763,0.485201,-1.70562,0.284332,0.579929,-0.304815,5.71018,5.84065,7.02732
-0.645341,0.488101,-1.70715,0.291283,0.578731,-0.305543,5.74828,5.88299,7.07854
-0.643885,0.490995,-1.70868,0.299256,0.576973,-0.305082,5.79044,5.92168,7.11712
-0.642389,0.493879,-1.7102,0.308471,0.573892,-0.305292,5.83519,5.96179,7.17361
-0.201914,0.709761,-0.554665,0.790501,0.819853,1.03374,5.28333,1.26651,10.4046
-0.197961,0.71386,-0.549496,0.795131,0.819077,1.03697,5.33004,1.29777,10.4545
-0.193986,0.717955,-0.544311,0.800483,0.81847,1.04048,5.37848,1.34268,10.5062
-0.189984,0.722047,-0.539109,0.80584,0.817211,1.04281,5.42877,1.38239,10.5578
-0.185954,0.726133,-0.533895,0.810469,0.816917,1.04284,5.47804,1.41864,10.6154
-0.181902,0.730217,-0.528681,0.815138,0.814667,1.04417,5.52796,1.45157,10.6634
-0.177826,0.734291,-0.52346,0.819344,0.811893,1.04707,5.57059,1.49894,10.7133
-0.173729,0.73835,-0.518225,0.823454,0.810475,1.05057,5.61592,1.54177,10.755
