timestamp,x,y,z,vx,vy,vz,phi,theta,psi
1542356260.554106731,0,0,0,0,0.0154625,0,0,0,0
1542356260.594129204,0,0,0,0,0.067577,0,0,0,0
1542356260.614126285,0,0,0,0,0.067577,0,0,0,0
1542356260.634111282,0,0,0,0,0.067577,0,0,0,0
1542356260.734112489,0,0,0,0,0.067577,0,0,0,0
1542356260.792781000,-0.00497664,0.0125089,-0.141665,0,0,0,0.0342698,-0.458951,-0.0876971
1542356260.894092396,0,0,0,0,0.0796034,0,0,0,0
1542356260.893578000,-0.00788741,0.0109083,-0.146272,0,0,0,-0.0319562,-0.084403,-0.0931314
1542356260.974112222,0,0,0,0,0.0796034,0,0,0,0
1542356260.994347000,-0.0108436,0.0256816,-0.148578,0,0,0,-0.0634185,-0.202454,-0.141182
1542356261.034110111,0,0,0,0,0.158061,0,0,0,0
1542356261.114135389,0,0,0,0,0.158061,0,0,0,0
1542356261.154134945,0,0,0,0,0.158061,0,0,0,0
1542356261.194114306,0,0,0,0,0.213612,0,0,0,0
1542356261.234127174,0,0,0,0,0.213612,0,0,0,0
1542356261.274130681,0,0,0,0,0.213612,0,0,0,0
1542356261.334109594,0,0,0,0,0.213612,0,0,0,0
1542356261.374120093,0,0,0,0,0.213612,0,0,0,0
1542356261.397538000,-0.00330678,0.143136,-0.134513,0,0,0,-0.278328,-0.212632,0.187681
1542356261.454106234,0,0,0,0,0.261718,0,0,0,0
1542356261.498378000,-0.0181972,0.174561,-0.12357,0,0,0,-0.282932,-0.256662,0.467797
1542356261.554107604,0,0,0,0,0.261718,0,0,0,0
1542356261.599175000,-0.0195659,0.218117,-0.12941,0,0,0,-0.183846,-0.114619,0.751837
1542356261.674126395,0,0,0,0,0.28577,0,0,0,0
1542356261.699960000,-0.0341337,0.228,-0.117356,0,0,0,1.3527e-05,0.0150268,1.49225
1542356261.754136375,0,0,0,0,0.28577,0,0,0,0
1542356261.794145951,0,0,0,0,0.274889,0,0,0,0
1542356261.800778000,-0.0532856,0.254318,-0.114024,0,0,0,-0.120351,0.227463,1.92074
1542356261.894116133,0,0,0,0,0.274889,0,0,0,0
1542356261.902861000,-0.0866232,0.26586,-0.108869,0,0,0,-0.273211,0.387799,2.37644
1542356261.974106332,0,0,0,0,0.274889,0,0,0,0
1542356262.014127171,0,0,0,0,0.284625,0,0,0,0
1542356262.054121265,0,0,0,0,0.284625,0,0,0,0
1542356262.103173000,-0.0823377,0.309506,-0.090915,0,0,0,-0.66553,0.233864,2.65602
1542356262.134119301,0,0,0,0,0.284625,0,0,0,0
1542356262.194104144,0,0,0,0,0.348193,0,0,0,0
1542356262.254134084,0,0,0,0,0.348193,0,0,0,0
1542356262.274129490,0,0,0,0,0.348193,0,0,0,0
1542356262.314111891,0,0,0,0,0.348193,0,0,0,0
1542356262.354129343,0,0,0,0,0.348193,0,0,0,0
1542356262.405550000,-0.138536,0.359961,-0.0977711,0,0,0,-0.61845,-0.56246,2.53442
1542356262.394119740,0,0,0,0,0.410043,0,0,0,0
1542356262.454125906,0,0,0,0,0.410043,0,0,0,0
1542356262.506349000,-0.0635857,0.440664,-0.130434,0,0,0,-0.0783405,-0.0560165,1.96245
1542356262.574110334,0,0,0,0,0.410043,0,0,0,0
1542356262.614153120,0,0,0,0,0.439823,0,0,0,0
1542356262.654118564,0,0,0,0,0.439823,0,0,0,0
1542356262.694129903,0,0,0,0,0.439823,0,0,0,0
1542356262.774118726,0,0,0,0,0.439823,0,0,0,0
1542356262.808777000,-0.0445267,0.584494,-0.13602,0,0,0,0.166598,-0.371423,1.70147
1542356262.854107581,0,0,0,0,0.486211,0,0,0,0
1542356262.914120071,0,0,0,0,0.486211,0,0,0,0
1542356262.954138635,0,0,0,0,0.486211,0,0,0,0
1542356262.994105321,0,0,0,0,0.513699,0,0,0,0
1542356263.010378000,-0.0505507,0.704387,-0.130399,0,0,0,-0.184181,-0.28388,1.84032
1542356263.034170162,0,0,0,0,0.513699,0,0,0,0
1542356263.074110479,0,0,0,0,0.513699,0,0,0,0
1542356263.134118986,0,0,0,0,0.513699,0,0,0,0
1542356263.174116999,0,0,0,0,0.513699,0,0,0,0
1542356263.214106768,0,0,0,0,0.524581,0,0,0,0
1542356263.234112989,0,0,0,0,0.524581,0,0,0,0
1542356263.294125239,0,0,0,0,0.524581,0,0,0,0
1542356263.374133216,0,0,0,0,0.524581,0,0,0,0
1542356263.394106807,0,0,0,0,0.53947,0,0,0,0
1542356263.413568000,-0.0893505,0.897021,-0.128741,0,0,0,-0.290859,0.174185,1.44661
1542356263.514118354,0,0,0,0,0.53947,0,0,0,0
1542356263.514355000,-0.0658962,0.987721,-0.130492,0,0,0,-0.280865,0.123492,1.39311
1542356263.594123904,0,0,0,0,0.600748,0,0,0,0
1542356263.634138390,0,0,0,0,0.600748,0,0,0,0
1542356263.674122883,0,0,0,0,0.600748,0,0,0,0
1542356263.715947000,-0.0411427,1.04806,-0.121813,0,0,0,-0.118045,-0.551981,1.77469
1542356263.774111919,0,0,0,0,0.600748,0,0,0,0
1542356263.814107729,0,0,0,0,0.639118,0,0,0,0
1542356263.854200426,0,0,0,0,0.639118,0,0,0,0
1542356263.934112838,0,0,0,0,0.639118,0,0,0,0
1542356263.917542000,-0.0622341,1.17584,-0.113885,0,0,0,0.0444322,-0.815481,1.80346
1542356264.014061396,0,0,0,0,0.695814,0,0,0,0
1542356264.114127071,0,0,0,0,0.695814,0,0,0,0
1542356264.134124583,0,0,0,0,0.695814,0,0,0,0
1542356264.194120176,0,0,0,0,0.71414,0,0,0,0
1542356264.234120793,0,0,0,0,0.71414,0,0,0,0
1542356264.274110530,0,0,0,0,0.71414,0,0,0,0
1542356264.314131389,0,0,0,0,0.71414,0,0,0,0
1542356264.374114157,0,0,0,0,0.71414,0,0,0,0
1542356264.414126882,0,0,0,0,0.723875,0,0,0,0
1542356264.454124379,0,0,0,0,0.723875,0,0,0,0
1542356264.494108706,0,0,0,0,0.723875,0,0,0,0
1542356264.574124399,0,0,0,0,0.723875,0,0,0,0
1542356264.623153000,-0.0384881,1.69928,-0.0918633,0,0,0,-0.264739,-0.520681,1.33135
1542356264.714106708,0,0,0,0,0.769118,0,0,0,0
1542356264.754109055,0,0,0,0,0.769118,0,0,0,0
1542356264.723941000,-0.0395827,1.77342,-0.0852529,0,0,0,-0.382743,-0.434821,1.24629
1542356264.774122989,0,0,0,0,0.769118,0,0,0,0
1542356264.834120954,0,0,0,0,0.798897,0,0,0,0
1542356264.874128424,0,0,0,0,0.798897,0,0,0,0
1542356264.914105239,0,0,0,0,0.798897,0,0,0,0
1542356264.954126342,0,0,0,0,0.798897,0,0,0,0
1542356265.014118496,0,0,0,0,0.843567,0,0,0,0
1542356265.054127143,0,0,0,0,0.843567,0,0,0,0
1542356265.094145298,0,0,0,0,0.843567,0,0,0,0
1542356265.134082210,0,0,0,0,0.843567,0,0,0,0
1542356265.174119382,0,0,0,0,0.843567,0,0,0,0
1542356265.214118828,0,0,0,0,0.867047,0,0,0,0
1542356265.254128392,0,0,0,0,0.867047,0,0,0,0
1542356265.314122443,0,0,0,0,0.867047,0,0,0,0
1542356265.374132976,0,0,0,0,0.867047,0,0,0,0
1542356265.434108540,0,0,0,0,0.912862,0,0,0,0
1542356265.429547000,-0.0501663,2.30087,-0.114533,0,0,0,-0.196751,-0.761246,0.699329
1542356265.514118532,0,0,0,0,0.912862,0,0,0,0
1542356265.530358000,-0.0445241,2.39367,-0.113436,0,0,0,-0.274411,-0.833668,0.6441
1542356265.614105558,0,0,0,0,0.949514,0,0,0,0
1542356265.654121101,0,0,0,0,0.949514,0,0,0,0
1542356265.694121677,0,0,0,0,0.949514,0,0,0,0
1542356265.734113829,0,0,0,0,0.949514,0,0,0,0
1542356265.774117378,0,0,0,0,0.949514,0,0,0,0
1542356265.470791213,-0.430706,1.39012,0,0,0,0,0,0,1.237
1542356265.834106530,0,0,0,0,0.983875,0,0,0,0
1542356265.934110770,0,0,0,0,0.983875,0,0,0,0
1542356266.034106022,0,0,0,0,1.01365,0,0,0,0
1542356266.034366000,-0.0399932,2.88844,-0.103864,0,0,0,-0.589921,-0.128908,0.315376
1542356266.114121587,0,0,0,0,1.01365,0,0,0,0
1542356266.154118061,0,0,0,0,1.01365,0,0,0,0
1542356266.135161000,-0.0993335,2.9617,-0.160443,0,0,0,-0.174856,-0.565927,0.262384
1542356266.194120711,0,0,0,0,1.03198,0,0,0,0
1542356266.254113559,0,0,0,0,1.03198,0,0,0,0
1542356266.294152758,0,0,0,0,1.03198,0,0,0,0
1542356266.334075764,0,0,0,0,1.03198,0,0,0,0
1542356266.374124393,0,0,0,0,1.03198,0,0,0,0
1542356266.414119059,0,0,0,0,1.07035,0,0,0,0
1542356266.454112072,0,0,0,0,1.07035,0,0,0,0
1542356266.494123293,0,0,0,0,1.07035,0,0,0,0
1542356266.554125973,0,0,0,0,1.07035,0,0,0,0
1542356266.614107739,0,0,0,0,1.12762,0,0,0,0
1542356266.634145893,0,0,0,0,1.12762,0,0,0,0
1542356266.674111944,0,0,0,0,1.12762,0,0,0,0
1542356266.754137154,0,0,0,0,1.12762,0,0,0,0
1542356266.794110670,0,0,0,0,1.17744,0,0,0,0
1542356266.834106694,0,0,0,0,1.17744,0,0,0,0
1542356266.854167779,0,0,0,0,1.17744,0,0,0,0
1542356266.894119404,0,0,0,0,1.17744,0,0,0,0
1542356266.974112723,0,0,0,0,1.17744,0,0,0,0
1542356267.014120643,0,0,0,0,1.19119,0,0,0,0
1542356267.042353000,-0.108488,3.94193,-0.149779,0,0,0,-0.206436,-0.911537,-0.359571
1542356267.134117375,0,0,0,0,1.19119,0,0,0,0
1542356267.143181000,-0.111669,4.07014,-0.152128,0,0,0,-0.186149,-0.927562,-0.53304
1542356267.234122126,0,0,0,0,1.15511,0,0,0,0
1542356267.243957000,-0.108226,4.16496,-0.153605,0,0,0,-0.123539,-0.826818,-0.51774
1542356267.274120942,0,0,0,0,1.15511,0,0,0,0
1542356267.314121959,0,0,0,0,1.15511,0,0,0,0
1542356267.344781000,-0.100503,4.25648,-0.164904,0,0,0,-0.227308,-0.750801,-0.520292
1542356267.394123894,0,0,0,0,1.13678,0,0,0,0
1542356267.434118270,0,0,0,0,1.13678,0,0,0,0
1542356267.474119830,0,0,0,0,1.13678,0,0,0,0
1542356267.534121948,0,0,0,0,1.13678,0,0,0,0
1542356267.546353000,-0.102094,4.45771,-0.174913,0,0,0,-0.330817,-0.654559,-0.4758
1542356267.594110012,0,0,0,0,1.15339,0,0,0,0
